,Hotel_Name,Rating,Price,region,Airport_Shuttle,Business_Centre,Facilities,Fitness_Centre,Restaurant,Room_Service,Spa,Swimming_Pool,Wellness_Centre
1168,Crowne Plaza AL KHOBAR,7.6,360.0,Khobar,0,0,0,0,0,0,1,0,1
1173,Marriott Executive Apartments Al Khobar,8.9,770.0,Khobar,0,0,0,0,0,0,0,1,0
1182,Somerset Downtown Al Khobar,8.8,600.0,Khobar,0,0,0,0,0,0,0,1,0
1186,DoubleTree by Hilton Hotel Dhahran,6.6,508.0,Khobar,0,0,0,0,0,0,0,1,0
1187,Hilton Garden Inn Al Khobar,8.3,394.0,Khobar,0,0,0,0,0,0,0,1,0
1193,Braira Al Azizya Resort and Hotel,8.9,875.0,Khobar,0,0,0,0,0,1,0,0,0
1197,Golden Tulip Al Khobar,7.2,269.0,Khobar,0,0,0,0,1,0,0,0,0
1198,Ascott Corniche Al Khobar,8.1,606.0,Khobar,0,0,0,0,0,0,0,1,0
1199,Hilton Garden Inn Al Khobar,8.3,433.0,Khobar,0,0,0,0,0,0,0,1,0
1201,Movenpick Hotel Al Khobar,8.3,772.0,Khobar,0,0,0,0,1,0,0,0,0
1207,Holiday Inn Al Khobar - Corniche,7.2,418.0,Khobar,0,0,0,0,0,1,1,0,1
1208,Holiday Inn AL KHOBAR,7.7,386.0,Khobar,0,0,0,0,1,1,0,0,0
1209,Golden Bujari Hotel Al Dhahran,7.6,306.0,Khobar,0,0,0,0,1,0,0,0,0
1210,Carlton Al Moaibed Hotel,7.1,279.0,Khobar,0,0,0,0,0,0,0,1,0
1212,Braira Al Azizya Resort and Hotel,8.9,176.0,Khobar,0,0,0,0,0,1,0,0,0
1216,Park Inn By Radisson Al Khobar,7.3,275.0,Khobar,0,0,0,0,1,0,0,0,0
1217,Private Luxury Apartments - Al Khozama,7.0,164.0,Khobar,0,0,0,0,0,0,0,0,0
1218,Executives Hotel - Olaya,7.7,590.0,Riyadh,0,0,0,0,0,0,0,1,0
1219,"Park Inn by Radisson, Riyadh",8.3,1020.0,Riyadh,0,0,0,0,0,0,0,1,0
1220,Joudyan Olaya Riyadh,8.3,1026.0,Riyadh,0,0,0,0,0,0,0,1,0
1221,Crown Rose Hotel,7.4,585.0,Riyadh,0,0,0,0,0,0,0,1,0
1222,Rosh Rayhaan by Rotana,8.5,1085.0,Riyadh,0,0,0,0,0,0,0,1,0
1223,Hyatt Place Riyadh Sulaimania,8.5,999.0,Riyadh,0,0,0,0,0,0,0,1,0
1224,Al Malqa Elite Hotel,7.5,541.0,Riyadh,0,0,0,0,0,0,0,0,0
1225,Boudl Gaber,8.1,543.0,Riyadh,0,0,0,0,1,1,0,0,0
1226,Holiday Inn RIYADH THE BUSINESS DISTRICT,8.7,1105.0,Riyadh,0,0,0,0,0,0,0,1,0
1227,Boudl Al Woroud,8.0,592.0,Riyadh,0,0,0,0,1,1,0,0,0
1228,"Marriott Executive Apartments Riyadh, Convention Center",8.7,1041.0,Riyadh,0,0,0,0,1,0,0,1,0
1229,Crowne Plaza Hotel Riyadh Minhal,8.6,1350.0,Riyadh,0,0,0,0,0,0,0,1,0
1230,Rafa Homes Al Izdihar 1,7.7,315.0,Riyadh,0,0,0,0,0,0,0,0,0
1231,Comfort Hotel Riyadh Olaya,9.5,599.0,Riyadh,0,0,0,0,1,0,0,0,0
1232,Radisson Blu Hotel & Residence Riyadh Diplomatic Quarters,8.9,2000.0,Riyadh,0,0,0,0,0,0,0,1,0
1233,"Narcissus Hotel & Spa, Riyadh",8.6,1800.0,Riyadh,0,0,0,0,0,0,0,1,0
1234,Braira Al Wezarat,8.4,816.0,Riyadh,0,0,0,0,0,0,0,1,0
1235,Four Seasons Hotel Riyadh,8.9,4165.0,Riyadh,0,0,0,0,0,0,0,1,0
1236,Ewaa Express Hotel - Gaber,8.7,436.0,Riyadh,0,0,0,0,0,1,0,0,0
1237,Boudl Al Munsiyah,8.0,510.0,Riyadh,0,0,0,0,0,0,0,1,0
1238,Centro Olaya by Rotana,7.9,800.0,Riyadh,0,0,0,0,0,0,0,1,0
1239,Hilton Riyadh Hotel & Residences,8.3,1486.0,Riyadh,0,0,0,0,0,0,0,1,0
1240,InterContinental Hotels RIYADH,7.7,1670.0,Riyadh,0,0,0,0,0,0,0,1,0
1241,Hyatt Regency Riyadh Olaya,8.5,1488.0,Riyadh,0,0,0,0,0,0,0,1,0
1242,Le Méridien Riyadh,8.3,1900.0,Riyadh,0,0,0,0,0,0,0,1,0
1243,Holiday Inn RIYADH - AL QASR,7.1,901.0,Riyadh,0,0,0,0,0,0,0,1,0
1244,Novotel Riyadh Sahafa (Opening March 2024),9.5,1570.0,Riyadh,0,0,0,0,1,1,0,0,0
1245,Lailaty Hotel Apartment,7.6,264.0,Riyadh,0,0,0,0,0,0,0,0,0
1246,Aber 103 Al Mounisya,9.2,591.0,Riyadh,0,0,0,0,0,0,0,0,0
1247,Fraser Suites Riyadh,8.1,901.0,Riyadh,0,0,0,0,1,0,0,0,0
1248,Radisson Hotel & Residence Riyadh Olaya,9.1,856.0,Riyadh,0,0,0,0,0,0,0,1,0
1249,Ascott Rafal Olaya Riyadh,7.9,2025.0,Riyadh,0,0,0,0,1,0,0,0,0
1250,Almuhaidb Al Takhasosi Hotel,7.8,337.0,Riyadh,0,0,0,0,0,0,0,1,0
1251,JW Marriott Hotel Riyadh,7.8,2550.0,Riyadh,0,0,0,0,1,0,0,0,0
1252,Boudl Al Qasr,7.4,697.0,Riyadh,0,0,0,0,0,1,0,1,0
1253,Almuhaidb Altakhassusi 5,7.5,347.0,Riyadh,0,0,0,0,0,0,0,1,0
1254,Almuhaidb Salahuddin- Almalaz,7.7,332.0,Riyadh,0,0,0,0,0,0,0,1,0
1255,Dorar Darea Hotel Apartments - Al Nafl,7.2,249.0,Riyadh,0,0,0,0,0,1,0,0,0
1256,Courtyard by Marriott Riyadh Northern Ring Road,8.2,1582.0,Riyadh,0,0,0,0,0,0,0,1,0
1257,Al Muhaidb Khanshalila,7.5,166.0,Riyadh,0,0,0,1,0,1,0,0,0
1258,Swiss International Royal Hotel Riyadh,7.5,1095.0,Riyadh,0,0,0,0,0,0,0,1,0
1259,Voyage Residence,8.8,381.0,Riyadh,0,0,0,0,0,0,0,1,0
1260,Courtyard Riyadh Olaya,8.3,1150.0,Riyadh,0,0,0,0,0,0,0,1,0
1261,AlMuhaidb For Hotel Apartments 24,6.4,277.0,Riyadh,0,0,1,0,0,0,0,0,0
1262,Erfad Hotel - Riyadh,8.9,1183.0,Riyadh,0,0,0,0,0,0,0,1,0
1263,Hayat Alriyadh Hotel,7.7,442.0,Riyadh,0,0,0,0,0,0,0,1,0
1264,Revan Palace,6.9,514.0,Riyadh,0,0,0,0,1,0,0,0,0
1265,Novotel Suites Riyadh Centre,7.8,773.0,Riyadh,0,0,0,0,0,0,0,1,0
1266,AlMuhaidb Almalaz 7,6.7,297.0,Riyadh,0,0,0,0,0,1,0,0,0
1267,Sarwat Park Hotel Riyadh,8.1,964.0,Riyadh,0,0,0,0,0,0,0,1,0
1268,Al Muhaidb Al Diwan - Al Olaya,6.8,342.0,Riyadh,0,0,0,0,0,0,0,1,0
1269,Taleen AlSahafa Hotel Apartments,5.9,340.0,Riyadh,0,0,0,0,0,1,0,0,0
1270,Mira Business Hotel,7.8,677.0,Riyadh,0,0,0,0,0,0,1,0,1
1271,Taleen Granada hotel apartments,6.3,283.0,Riyadh,0,0,0,0,0,1,0,0,0
1272,Crowne Plaza Hotel Riyadh Minhal,8.6,675.0,Riyadh,0,0,0,0,0,0,0,1,0
1273,Baron Al Masif,6.7,237.0,Riyadh,0,0,0,0,0,0,0,0,0
1274,Boudl Al Sahafa,8.2,789.0,Riyadh,0,0,0,0,0,1,0,0,0
1275,Intour Qurtoba Hotel Suites,7.0,449.0,Riyadh,0,0,0,0,1,0,0,0,0
1276,"Narcissus Hotel & Spa, Riyadh",8.6,1500.0,Riyadh,0,0,0,0,0,0,0,1,0
1277,Four Seasons Hotel Riyadh,8.9,3800.0,Riyadh,0,0,0,0,0,0,0,1,0
1278,Ewaa Express Hotel - Gaber,8.7,789.0,Riyadh,0,0,0,0,0,1,0,0,0
1279,Hdb Hotel Financal District,7.3,764.0,Riyadh,0,0,0,0,0,0,0,1,0
1280,InterContinental Hotels RIYADH,7.7,807.0,Riyadh,0,0,0,0,0,0,0,1,0
1281,"InterContinental Durrat Al Riyadh Resort & Spa, an IHG Hotel",8.3,801.0,Riyadh,0,0,0,0,1,0,0,0,0
1282,Crowne Plaza RIYADH RDC HOTEL & CONVENTION,8.9,1092.0,Riyadh,0,0,0,0,0,0,0,1,0
1283,Radisson Blu Hotel Riyadh Qurtuba,8.3,935.0,Riyadh,0,0,0,0,0,0,0,1,0
1284,Aber 102,8.9,761.0,Riyadh,0,0,0,0,0,0,0,1,0
1285,Viola Gardens,8.5,633.0,Riyadh,0,0,0,0,0,1,0,0,0
1286,Cantonal Hotel By Warwick,9.0,823.0,Riyadh,0,0,0,0,0,0,0,1,0
1287,Golden Tulip Riyadh,8.8,781.0,Riyadh,0,0,0,0,0,0,0,1,0
1288,Crowne Plaza RIYADH AL WAHA,7.7,742.0,Riyadh,0,0,0,0,1,1,0,0,0
1289,Continent Hotel Al Waha Riyad,7.7,672.0,Riyadh,0,0,0,0,0,0,0,1,0
1290,Rafa - Al Nuzhah,8.2,430.0,Riyadh,0,0,0,0,0,1,0,0,0
1291,Riyadh Marriott Hotel,7.5,660.0,Riyadh,0,0,0,0,0,0,0,1,0
1292,Ramada Riyadh,7.9,1669.0,Riyadh,0,0,0,0,0,0,0,1,0
1293,Ross Hotel,8.5,665.0,Riyadh,0,0,0,0,1,0,0,0,0
1295,Braira Al Wezarat,8.4,809.0,Riyadh,0,0,0,0,0,0,0,1,0
1296,Four Seasons Hotel Riyadh,8.9,3900.0,Riyadh,0,0,0,0,0,0,0,1,0
1297,Ewaa Express Hotel - Gaber,8.7,409.0,Riyadh,0,0,0,0,0,1,0,0,0
1298,Boudl Al Munsiyah,8.0,612.0,Riyadh,0,0,0,0,0,0,0,1,0
1299,Centro Olaya by Rotana,7.9,587.0,Riyadh,0,0,0,0,0,0,0,1,0
1300,Hilton Riyadh Hotel & Residences,8.3,1212.0,Riyadh,0,0,0,0,0,0,0,1,0
1301,Hyatt Regency Riyadh Olaya,8.5,1313.0,Riyadh,0,0,0,0,0,0,0,1,0
1302,"InterContinental Durrat Al Riyadh Resort & Spa, an IHG Hotel",8.3,967.0,Riyadh,0,0,0,0,1,0,0,0,0
1303,Rand by Wandalus,7.2,573.0,Riyadh,0,0,0,0,1,0,0,0,0
1304,Le Méridien Riyadh,8.3,1300.0,Riyadh,0,0,0,0,0,0,0,1,0
1305,Holiday Inn RIYADH - AL QASR,7.1,750.0,Riyadh,0,0,0,0,0,0,0,1,0
1306,Novotel Riyadh Sahafa (Opening March 2024),9.5,1208.0,Riyadh,0,0,0,0,1,1,0,0,0
1310,Radisson Hotel & Residence Riyadh Olaya,9.1,881.0,Riyadh,0,0,0,0,0,0,0,1,0
1311,Ascott Rafal Olaya Riyadh,7.9,2044.0,Riyadh,0,0,0,0,1,0,0,0,0
1312,Almuhaidb Al Takhasosi Hotel,7.8,316.0,Riyadh,0,0,0,0,0,0,0,1,0
1313,JW Marriott Hotel Riyadh,7.8,1650.0,Riyadh,0,0,0,0,1,0,0,0,0
1314,Ewaa Express Hotel - Al Olaya,8.6,861.0,Riyadh,0,0,0,0,0,0,0,1,0
1315,Almuhaidb Altakhassusi 5,7.5,325.0,Riyadh,0,0,0,0,0,0,0,1,0
1316,Almuhaidb Salahuddin- Almalaz,7.7,311.0,Riyadh,0,0,0,0,0,0,0,1,0
1317,Dorar Darea Hotel Apartments - Al Nafl,7.2,237.0,Riyadh,0,0,0,0,0,1,0,0,0
1318,Courtyard by Marriott Riyadh Northern Ring Road,8.2,850.0,Riyadh,0,0,0,0,0,0,0,1,0
1319,Grand Plaza Hotel - Dhabab Riyadh,8.3,716.0,Riyadh,0,0,0,0,1,0,0,0,0
1320,Al Muhaidb Khanshalila,7.5,200.0,Riyadh,0,0,0,1,0,1,0,0,0
1322,Voyage Residence,8.8,353.0,Riyadh,0,0,0,0,0,0,0,1,0
1323,Myrtle,6.8,510.0,Riyadh,0,0,0,0,0,1,0,0,0
1324,Al Farhan Hotel Suites (Exit 15),6.1,281.0,Riyadh,0,0,0,0,0,1,0,0,0
1325,Aber Al Munsiyah,7.9,641.0,Riyadh,0,0,0,0,1,0,0,0,0
1326,Comfort Inn Al Yarmouk,5.1,600.0,Riyadh,0,0,0,0,1,0,0,0,0
1327,Almasem Luxury Hotel suite 6,7.3,330.0,Riyadh,0,0,0,0,0,1,0,0,0
1328,Amaaria Aquapark resort Villas & Chalet,8.1,2770.0,Riyadh,0,0,0,0,0,0,0,1,0
1329,Almuhaidb Down Town,8.7,465.0,Riyadh,0,0,0,0,0,1,0,0,0
1330,Revan Palace,6.9,515.0,Riyadh,0,0,0,0,1,0,0,0,0
1333,AlMuhaidb Almalaz 7,6.7,279.0,Riyadh,0,0,0,0,0,1,0,0,0
1335,Braira Al Wezarat,8.4,1800.0,Riyadh,0,0,0,0,0,0,0,1,0
1337,Four Seasons Hotel Riyadh,8.9,3200.0,Riyadh,0,0,0,0,0,0,0,1,0
1338,Ewaa Express Hotel - Gaber,8.7,440.0,Riyadh,0,0,0,0,0,1,0,0,0
1340,Ahlin Suites 2,7.7,339.0,Riyadh,0,0,0,0,0,1,0,0,0
1341,Centro Olaya by Rotana,7.9,959.0,Riyadh,0,0,0,0,0,0,0,1,0
1342,Myrtle Al Sahafa,7.5,633.0,Riyadh,0,0,0,0,0,1,0,0,0
1343,Taleen Al Nadwa,5.6,227.0,Riyadh,0,0,1,0,0,0,0,0,0
1344,Mena Andalusia Hotel,6.3,341.0,Riyadh,0,0,0,0,0,1,0,0,0
1345,Burj Alhayah Hotel Suites Olaya,8.2,520.0,Riyadh,0,0,0,0,0,1,0,0,0
1346,Dara Hotel Qurtubah,8.2,424.0,Riyadh,0,0,0,0,0,0,0,1,0
1347,Al Rahden Hotel,8.3,693.0,Riyadh,0,0,0,0,0,0,0,1,0
1348,Golden Dune Hotel & Suite,8.2,326.0,Riyadh,0,0,0,0,1,0,0,0,0
1349,Executives Hotel - Olaya,7.7,486.0,Riyadh,0,0,0,0,0,0,0,1,0
1350,Aber Al Takhassusi hotel,8.5,664.0,Riyadh,0,0,0,0,0,0,0,1,0
1351,"Park Inn by Radisson, Riyadh",8.3,850.0,Riyadh,0,0,0,0,0,0,0,1,0
1352,Joudyan Olaya Riyadh,8.3,700.0,Riyadh,0,0,0,0,0,0,0,1,0
1353,Grand Plaza Hotel-KAFD Riyadh,8.6,735.0,Riyadh,0,0,0,0,0,0,0,1,0
1354,Boudl Al Olaya Hotel,7.9,744.0,Riyadh,0,0,0,1,0,1,0,0,0
1355,Merfal Hotel Apartments Al Taawan,6.6,293.0,Riyadh,0,0,0,0,0,1,0,0,0
1356,Courtyard Riyadh Diplomatic Quarter,8.1,1015.0,Riyadh,0,0,0,0,0,0,0,1,0
1357,Duset Hotel Suites,8.6,360.0,Riyadh,0,0,0,0,1,0,0,0,0
1358,Dara Al Rayyan,8.1,320.0,Riyadh,0,0,0,0,0,0,0,1,0
1359,IntercityHotel Riyadh Malaz,8.0,982.0,Riyadh,0,0,0,0,0,0,0,1,0
1360,Aber 102,8.9,781.0,Riyadh,0,0,0,0,0,0,0,1,0
1361,Holiday Inn RIYADH - MEYDAN,7.5,905.0,Riyadh,0,0,0,0,0,0,0,1,0
1362,Viola Gardens,8.5,730.0,Riyadh,0,0,0,0,0,1,0,0,0
1363,Best Western Plus Fursan Hotel,8.1,654.0,Riyadh,0,0,0,0,1,0,0,0,0
1364,Super 8 by Wyndham Al Riyadh,7.3,448.0,Riyadh,0,0,0,0,1,0,0,0,0
1366,Novo Hotel Riyadh,8.7,1140.0,Riyadh,0,0,0,0,0,0,0,1,0
1367,Holiday Inn RIYADH - IZDIHAR,7.3,1090.0,Riyadh,0,0,0,0,1,0,1,0,1
1368,Admire Apart' Hotel,6.8,482.0,Riyadh,0,0,0,0,0,0,0,1,0
1369,Millennia Olaya Hotel,7.5,784.0,Riyadh,0,0,0,0,0,0,0,1,0
1370,Holiday Inn RIYADH - OLAYA,7.2,955.0,Riyadh,0,0,0,0,1,0,0,0,0
1371,Boudl Al Sahafa,8.2,860.0,Riyadh,0,0,0,0,0,1,0,0,0
1372,Voyage Apartments,7.9,401.0,Riyadh,0,0,0,1,0,1,0,0,0
1373,Sheraton Riyadh Hotel & Towers,8.0,1188.0,Riyadh,0,0,0,0,0,0,0,1,0
1374,Myrtle,6.8,569.0,Riyadh,0,0,0,0,0,1,0,0,0
1375,Braira Qurtubah Riyadh,8.2,789.0,Riyadh,0,0,0,0,0,0,0,1,0
1378,Four Seasons Hotel Riyadh,8.9,3300.0,Riyadh,0,0,0,0,0,0,0,1,0
1381,Hdb Hotel Financal District,7.3,563.0,Riyadh,0,0,0,0,0,0,0,1,0
1382,Ahlin Suites 2,7.7,297.0,Riyadh,0,0,0,0,0,1,0,0,0
1384,Madareem Crown Hotel,8.1,626.0,Riyadh,0,0,0,0,0,0,0,1,0
1386,Mena Andalusia Hotel,6.3,318.0,Riyadh,0,0,0,0,0,1,0,0,0
1387,Burj Alhayah Hotel Suites Olaya,8.2,506.0,Riyadh,0,0,0,0,0,1,0,0,0
1388,Dara Hotel Qurtubah,8.2,413.0,Riyadh,0,0,0,0,0,0,0,1,0
1391,Executives Hotel - Olaya,7.7,581.0,Riyadh,0,0,0,0,0,0,0,1,0
1392,Aber Al Takhassusi hotel,8.5,695.0,Riyadh,0,0,0,0,0,0,0,1,0
1395,Jareed Hotel Riyadh,9.0,4382.0,Riyadh,0,0,0,0,0,0,0,1,0
1396,Dorar Darea Hotel Apartments - Al Malqa 2,7.4,220.0,Riyadh,0,0,0,0,1,0,0,0,0
1398,Merfal Hotel Apartments Al Taawan,6.6,317.0,Riyadh,0,0,0,0,0,1,0,0,0
1402,IntercityHotel Riyadh Malaz,8.0,1137.0,Riyadh,0,0,0,0,0,0,0,1,0
1403,Aber 102,8.9,773.0,Riyadh,0,0,0,0,0,0,0,1,0
1404,Holiday Inn RIYADH - MEYDAN,7.5,1235.0,Riyadh,0,0,0,0,0,0,0,1,0
1407,Radisson Blu Hotel & Residence Riyadh Diplomatic Quarters,8.9,2500.0,Riyadh,0,0,0,0,0,0,0,1,0
1408,Braira Qurtubah Riyadh,8.2,966.0,Riyadh,0,0,0,0,0,0,0,1,0
1410,Braira Al Wezarat,8.4,803.0,Riyadh,0,0,0,0,0,0,0,1,0
1412,Ahlin Suites 2,7.7,291.0,Riyadh,0,0,0,0,0,1,0,0,0
1414,Myrtle Al Sahafa,7.5,538.0,Riyadh,0,0,0,0,0,1,0,0,0
1415,Hilton Riyadh Hotel & Residences,8.3,1625.0,Riyadh,0,0,0,0,0,0,0,1,0
1416,voco Riyadh An IHG Hotel,9.0,1697.0,Riyadh,0,0,0,0,0,0,0,1,0
1417,Golden Dune Hotel & Suite,8.2,336.0,Riyadh,0,0,0,0,1,0,0,0,0
1418,Executives Hotel - Olaya,7.7,572.0,Riyadh,0,0,0,0,0,0,0,1,0
1419,Aber Al Takhassusi hotel,8.5,719.0,Riyadh,0,0,0,0,0,0,0,1,0
1422,Grand Plaza Hotel-KAFD Riyadh,8.6,785.0,Riyadh,0,0,0,0,0,0,0,1,0
1424,Riyadh Airport Marriott Hotel,8.3,991.0,Riyadh,0,0,0,0,1,1,0,0,0
1425,DoubleTree by Hilton Riyadh Financial District Hotel & Suites,8.5,4685.0,Riyadh,0,0,0,0,0,0,0,1,0
1426,"Mansard Riyadh, a Radisson Collection Hotel",9.0,3062.0,Riyadh,0,0,0,0,0,0,0,1,0
1427,Ewaa Express Hotel - Khorais,8.3,452.0,Riyadh,0,0,0,0,1,0,0,0,0
1428,Anan Hotel,7.5,687.0,Riyadh,0,0,0,0,0,1,0,0,0
1429,Smayah Residence,8.6,535.0,Riyadh,0,0,0,0,0,0,0,1,0
1431,Crowne Plaza Hotel Riyadh Minhal,8.6,1275.0,Riyadh,0,0,0,0,0,0,0,1,0
1437,Al Muteb Suites Khurais,5.1,400.0,Riyadh,0,0,0,0,0,1,0,0,0
1439,Braira Qurtubah Riyadh,8.2,986.0,Riyadh,0,0,0,0,0,0,0,1,0
1442,Four Seasons Hotel Riyadh,8.9,2800.0,Riyadh,0,0,0,0,0,0,0,1,0
1445,Hdb Hotel Financal District,7.3,505.0,Riyadh,0,0,0,0,0,0,0,1,0
1446,Ahlin Suites 2,7.7,302.0,Riyadh,0,0,0,0,0,1,0,0,0
1447,Centro Olaya by Rotana,7.9,620.0,Riyadh,0,0,0,0,0,0,0,1,0
1448,Aber Al Yasmin 101,8.1,732.0,Riyadh,0,0,0,1,0,0,0,0,0
1450,Mena Andalusia Hotel,6.3,327.0,Riyadh,0,0,0,0,0,1,0,0,0
1451,Burj Alhayah Hotel Suites Olaya,8.2,515.0,Riyadh,0,0,0,0,0,1,0,0,0
1452,Dara Hotel Qurtubah,8.2,400.0,Riyadh,0,0,0,0,0,0,0,1,0
1456,Joudyan Olaya Riyadh,8.3,953.0,Riyadh,0,0,0,0,0,0,0,1,0
1459,Grand Plaza Hotel - Gulf Riyadh,8.5,745.0,Riyadh,0,0,0,0,1,0,0,0,0
1460,Aber Al Yasmin,8.4,820.0,Riyadh,0,0,0,0,0,0,0,1,0
1462,Dorar Darea Hotel Apartments - Al Malqa 2,7.4,224.0,Riyadh,0,0,0,0,1,0,0,0,0
1463,Boudl Al Sulimanyah,8.2,433.0,Riyadh,0,0,0,0,1,0,0,0,0
1466,Courtyard Riyadh Diplomatic Quarter,8.1,570.0,Riyadh,0,0,0,0,0,0,0,1,0
1469,IntercityHotel Riyadh Malaz,8.0,568.0,Riyadh,0,0,0,0,0,0,0,1,0
1470,"Mandarin Oriental Al Faisaliah, Riyadh",8.6,2838.0,Riyadh,0,0,0,0,0,0,0,1,0
1471,"Marriott Executive Apartments Riyadh, Convention Center",8.7,744.0,Riyadh,0,0,0,0,1,0,0,1,0
1475,Radisson Blu Hotel & Residence Riyadh Diplomatic Quarters,8.9,1500.0,Riyadh,0,0,0,0,0,0,0,1,0
1483,InterContinental Hotels RIYADH,7.7,1357.0,Riyadh,0,0,0,0,0,0,0,1,0
1485,Crowne Plaza Riyadh Palace,8.0,675.0,Riyadh,0,0,0,0,1,0,0,1,0
1486,Seiba Hotel Apartments - Al Malaz,7.1,732.0,Riyadh,0,0,0,0,0,0,0,1,0
1487,Rand by Wandalus,7.2,586.0,Riyadh,0,0,0,0,1,0,0,0,0
1488,Le Méridien Riyadh,8.3,1850.0,Riyadh,0,0,0,0,0,0,0,1,0
1489,Holiday Inn RIYADH - AL QASR,7.1,871.0,Riyadh,0,0,0,0,0,0,0,1,0
1492,Aber 103 Al Mounisya,9.2,624.0,Riyadh,0,0,0,0,0,0,0,0,0
1493,Fraser Suites Riyadh,8.1,1165.0,Riyadh,0,0,0,0,1,0,0,0,0
1494,Radisson Hotel & Residence Riyadh Olaya,9.1,919.0,Riyadh,0,0,0,0,0,0,0,1,0
1496,Sheraton Riyadh Hotel & Towers,8.0,712.0,Riyadh,0,0,0,0,0,0,0,1,0
1497,Intour Qurtoba Hotel Suites,7.0,447.0,Riyadh,0,0,0,0,1,0,0,0,0
1498,Braira Qurtubah Riyadh,8.2,1464.0,Riyadh,0,0,0,0,0,0,0,1,0
1503,Hdb Hotel Financal District,7.3,533.0,Riyadh,0,0,0,0,0,0,0,1,0
1507,DoubleTree by Hilton Riyadh - Al Muroj Business Gate,7.3,1758.0,Riyadh,0,0,0,0,1,0,0,0,0
1508,Madareem Crown Hotel,8.1,671.0,Riyadh,0,0,0,0,0,0,0,1,0
